Country,Month,Total,N_Languages,Max_N,Variance,Skewness,Kurtosis
ZWE,2020-02,242282,6,197630,399594541.43404144,9.64205546744631,91.62149682195745
ZWE,2020-03,275542,6,229591,522641285.0605942,9.820239818501378,94.94219756140066
BWA,2017-07,13154,2,11607,2113278.7291666665,7.718922491935912,58.01600931973801
BWA,2017-08,28225,2,24673,7742820.17786433,8.611845971785257,72.71915726306366
BWA,2017-09,47728,2,41542,20208831.36415869,8.973998259992987,79.26095351982684
BWA,2017-10,19189,2,17107,4448072.071095572,7.858322637853845,60.139607177373065
ZAF,2017-04,118755,1,113112,121755170.0,10.097285562765643,99.97352462726882
ZAF,2017-05,229103,2,219265,414204266.7906297,10.627845137252258,110.97044139908378
ZAF,2017-06,330746,1,316451,781927739.6040846,11.177855173325884,122.96572766304645
ZAF,2017-07,377607,2,357924,934591385.2945471,11.571635362482779,131.93775014893953
ZAF,2017-08,206544,2,194150,342450035.5983319,10.336465060341727,104.89784630921018
ZAF,2017-09,366030,2,343998,896107638.0589869,11.348435164513782,126.85982707577725
ZAF,2017-10,150755,2,141580,198321331.43702975,9.891386287097948,95.8960667195625
ZAF,2018-07,131595,4,114114,96406677.74129352,11.459378414898293,129.54490172182986
ZAF,2018-08,112523,5,97352,79564514.61985475,10.743630691276948,113.61878469190586
ZAF,2018-09,172766,4,149922,170190983.7430026,11.327092169131745,126.53518763856613
ZAF,2018-10,327565,4,285017,513995703.700113,12.419979187573121,152.50336234459505
ZAF,2018-11,327205,4,285360,532009400.2426039,12.219626047055996,147.54632704729207
ZAF,2018-12,457098,5,402566,1031785800.9287933,12.385450318139448,151.6003909150807
ZAF,2019-01,481523,5,424268,1131664512.4259214,12.465325381610253,153.59010483491616
ZAF,2019-02,444739,6,382616,995478775.5077811,11.967479207514215,141.48058813087044
ZAF,2019-03,456840,4,398315,1064343306.8226914,12.054986312317766,143.54889588813327
ZAF,2019-04,368824,5,317690,650951107.0307497,12.295785123097033,149.4570251071599
ZAF,2019-05,362752,4,314726,682812068.0002874,11.88678177725654,139.53040058960212
ZAF,2019-06,270399,4,235151,386425046.39879847,11.806806993307282,137.60179748343973
ZAF,2019-07,420737,4,369875,936376342.638687,11.9370702809356,140.6641662251377
ZAF,2019-08,460121,5,398894,963905894.2266814,12.7009531553538,159.54370012393974
ZAF,2019-09,472422,4,417673,1103528075.0571635,12.428857286323947,152.65248204090548
ZAF,2019-10,489290,5,429109,1143210414.151553,12.544864372657626,155.5832401337286
ZAF,2019-11,498839,4,440314,1211064798.2546773,12.508986775101075,154.65105369431015
ZAF,2019-12,482707,4,427393,1055437154.3086436,13.017066804626754,167.6302189203294
ZAF,2020-01,460964,5,402092,991836475.308642,12.616117374105524,157.4420940655573
ZAF,2020-02,439660,5,380198,957476024.7339516,12.124369070144967,145.32812509743215
ZAF,2020-03,488553,5,422184,1142711910.9758065,12.329614744627209,150.34189809333932
WSM,2018-09,2559,7,1294,68520.41025641024,3.829213819820582,14.699559626679445
WSM,2018-10,6002,7,3195,226162.28408163274,5.695070085079124,33.603290749501475
WSM,2018-11,117626,5,49624,88953867.15265307,4.490499125033709,18.79337652089463
WSM,2018-12,406909,8,158005,739713532.5215774,5.150198116735897,25.276804067932325
WSM,2019-01,268240,6,201429,651391497.2078851,7.502133827625927,55.38499154005936
WSM,2019-02,262815,6,181886,604070908.3659091,6.888277669690858,47.028409300292786
WSM,2019-03,301616,5,216408,754023930.4767026,7.447646841746496,54.81904098812946
WSM,2019-04,234282,8,147276,417018473.87421393,6.561175688142303,43.182137214770854
WSM,2019-05,180006,6,120848,280738655.074746,6.694628331024123,44.33735606501422
WSM,2019-06,120021,6,70123,99111386.94484761,6.210578190362712,39.394128916280806
WSM,2019-07,274658,4,174207,443647993.6662861,7.502401923876092,57.537546090900896
WSM,2019-08,291671,6,168399,443284323.3310559,7.0733572256010255,51.73136189616097
WSM,2019-09,379348,5,238920,838720138.8231612,7.514752943186979,57.61685082411717
WSM,2019-10,356274,6,210141,635663373.2989473,7.395787343533735,56.81511359894186
WSM,2019-11,470299,6,326855,1622110445.74956,7.568152853392051,57.361237086373805
WSM,2019-12,456393,6,303014,1326798517.2095065,7.703161624156538,59.906068685224156
WSM,2020-01,343262,7,182070,551236275.2372671,6.5774389998781535,45.44670230423466
WSM,2020-02,337584,6,162629,462754829.4767339,6.192264155866628,41.254566341014566
WSM,2020-03,364162,6,171635,495679114.18390316,6.31377747934766,42.94977585802828
NZL,2017-07,136731,4,121857,136130250.80020392,10.272443036734904,103.68337521363219
NZL,2017-08,79878,3,72396,56295003.63183729,9.47088063997067,87.80161373354912
NZL,2017-09,151117,3,138041,168483573.57616943,10.475557911981893,107.82774603137209
NZL,2017-10,60167,2,54800,36565658.85953026,8.877143528284181,76.87358921601061
NZL,2018-07,114135,4,99593,86980857.08966002,10.499886835058112,108.49737625205614
NZL,2018-08,100284,4,87764,81885319.09585905,9.505771725509618,88.57354674256757
NZL,2018-09,261653,4,234736,437067723.48755544,11.069472975162034,120.69031676690466
NZL,2018-10,396661,5,354218,859184351.8895134,11.933079368334546,140.59897806519848
NZL,2018-11,301215,5,264087,571384751.5283158,10.878702629381928,116.564669546821
NZL,2018-12,477907,6,407302,1144460608.6099617,11.868077371306358,139.23069749911505
NZL,2019-01,490511,6,420695,1301876236.063998,11.48361649180405,130.24307886647549
NZL,2019-02,460378,5,396498,1332609553.687962,10.67618850431409,112.31633559217819
NZL,2019-03,481897,5,412259,1206305537.8648427,11.691858663628866,135.1237135338749
NZL,2019-04,417732,5,360875,951501404.0615071,11.519762387214561,131.1256341224696
NZL,2019-05,407329,5,354760,998939502.4026035,11.049959591498236,120.39812930526755
NZL,2019-06,319238,5,272305,579889941.8403051,11.118615839961711,122.06939699856494
NZL,2019-07,449833,6,379374,1082918796.1175666,11.341942023254251,127.08470891993636
NZL,2019-08,484024,7,393307,1202460492.140746,11.120073934237864,122.40261427662325
NZL,2019-09,464472,7,388472,1103116327.4200304,11.50210536843651,130.84838654066562
NZL,2019-10,496984,8,401398,1114876923.1678162,11.800068767711752,138.12232282682666
NZL,2019-11,490114,5,409510,1263318403.0332646,11.319329830973619,126.72841712417565
NZL,2019-12,485328,6,398583,1123006850.8970134,11.672128683862528,135.10408997967932
NZL,2020-01,454825,7,371456,1088587650.9097614,11.044564469507318,120.63384224328584
NZL,2020-02,434781,7,354916,889956519.2998205,11.678696891381916,135.2189307370967
NZL,2020-03,523450,6,434691,1412870369.1143532,11.36081493713651,127.68924978033854
MHL,2018-09,1013,5,563,9674.686186186189,4.7575942470080745,22.55699318096665
MHL,2018-10,1627,4,984,30688.561111111107,4.7112799025559,21.801153544308246
MHL,2018-11,3422,5,2642,303568.26877470355,4.295145265858361,16.931840597108497
MHL,2018-12,9894,4,8600,2460955.9586206907,5.131333999950848,24.555732796848993
MHL,2019-01,8553,5,6355,1389320.9206896548,4.816835476924378,22.130257954040353
MHL,2019-02,7960,4,6014,943275.0944669367,5.717618279182443,31.60349488977461
MHL,2019-03,8392,5,6163,1395353.4708994706,4.632520236080246,20.350499225341615
MHL,2019-04,5928,3,4098,592496.0413793103,4.625392507935277,20.62080821266196
MHL,2019-05,5256,5,2650,286955.96974789916,3.9115390505509047,14.165810731157894
MHL,2019-06,3933,5,2073,168464.8921568627,4.0159792083009735,15.153004561528142
MHL,2019-07,5346,5,3068,372839.9225806452,4.031760755894412,15.460783127925641
MHL,2019-08,4992,4,3325,513631.6798418974,3.8501914691920316,13.91478242520143
MHL,2019-09,7447,3,4697,788563.9166666665,4.369103425674434,18.456451142569094
MHL,2019-10,6407,4,4068,346894.2946298985,6.0693231454410235,37.07381169858434
MHL,2019-11,6491,4,3536,610369.3620689652,3.587789381827303,11.380318904718074
MHL,2019-12,5663,4,3861,762813.6333333332,3.6342615923819315,12.137684239555817
MHL,2020-01,4603,4,2939,352523.58068783075,4.0655308924690035,15.761049253441218
MHL,2020-02,4952,4,3075,372282.2610837437,4.141729310586734,16.449924254328124
MHL,2020-03,5454,4,3640,508676.6931216932,4.334373492155359,18.059102021769473
MYS,2017-04,109553,4,61330,37705617.76212744,8.727340096620415,76.9274906863183
MYS,2017-05,211142,4,119137,109722127.39967215,9.996496430967271,101.46455530779211
MYS,2017-06,292881,4,173980,224193565.0934741,10.212908887006737,107.2550730902156
MYS,2017-07,175944,4,98975,90250569.64168699,9.12111526497155,84.2204067498345
MYS,2017-08,65296,3,35324,15793702.470520059,7.790889175178482,60.239216639988584
MYS,2017-09,113450,3,61384,42625148.02267031,8.27848320289146,68.18384198845452
MYS,2017-10,52667,3,26514,10344671.277586207,7.483963629456761,54.42630155330222
MYS,2017-11,2417,2,2262,188882.33618233612,4.8875824299003305,21.939473002833047
MYS,2017-12,2705,2,2506,312047.7763157895,4.1151922659262095,14.976151649933005
MYS,2018-01,2970,3,2760,329455.30039525684,4.46534773519139,17.97652260651636
MYS,2018-02,2939,3,2709,270406.5925925927,4.892034241250539,21.969125349443274
MYS,2018-03,2688,2,2526,227022.2962962963,4.995930496981941,22.98620343189852
MYS,2018-04,1409,2,1332,84035.8904761905,4.2454780573761886,16.033461379683867
MYS,2018-05,2964,2,2724,238559.17849462357,5.273847964647418,25.887074411576698
MYS,2018-06,1759,2,1660,124648.90259740256,4.358396193946237,17.014103233818556
MYS,2018-07,119470,3,68562,39876671.66273585,9.508332821082417,92.15666406981869
MYS,2018-08,102470,3,57992,31362844.27413127,9.055691905196916,83.1814105397552
MYS,2018-09,152133,3,86191,60941852.82346023,9.678367250006175,95.3285123319486
MYS,2018-10,242734,3,139276,136193482.7674331,10.485985735959494,112.5380891859374
MYS,2018-11,325193,4,187985,262996092.7500759,10.174985869442155,105.86607706373682
MYS,2018-12,545207,4,304076,672311657.1189362,10.259100739690577,107.77989198855514
MYS,2019-01,570779,4,322435,726528610.2322083,10.479605057490524,112.58965947617759
MYS,2019-02,506828,4,302681,608375447.4220394,10.804930209424207,120.60271841623062
MYS,2019-03,478666,4,280108,581427358.6370848,10.189015551442408,106.73707309836108
MYS,2019-04,335658,4,194328,298753166.1258906,9.863998920115923,99.18113254673192
MYS,2019-05,297327,3,171724,219144045.0070619,10.195456276126972,105.89374289814367
MYS,2019-06,233123,3,131931,148316070.66575286,9.518578739453424,91.60654119233168
MYS,2019-07,387390,3,209858,367211266.3284561,9.722860045322987,94.67151329118595
MYS,2019-08,523404,3,281670,616631528.0399358,10.098449857187456,102.17607667559382
MYS,2019-09,511893,4,268986,569639538.9388555,10.06337675081649,101.26745883826604
MYS,2019-10,544646,4,281874,667256335.6765245,9.798783740916363,95.54903687592672
MYS,2019-11,557197,3,297702,724666967.0949874,9.870891962655017,97.31947853403055
MYS,2019-12,546448,5,281245,620538589.9912858,10.180708796498505,103.18667037298755
MYS,2020-01,524924,5,289377,661872040.843831,9.923492804285425,99.34905632036991
MYS,2020-02,515774,3,280785,650345301.8216915,9.777922646126981,95.76700503529817
MYS,2020-03,592216,3,346244,856478748.8622669,10.398405817138697,110.56167869654108
TUV,2018-09,2397,9,1379,92801.67934782608,3.5642355140251976,11.690441463812018
TUV,2018-10,5713,8,3533,345764.48048780486,5.13127556410649,26.0513612900403
TUV,2018-11,5510,7,3005,267425.78205128206,4.804704791260184,22.835753878476837
TUV,2018-12,7109,10,3738,333604.6404081633,5.402055333575798,29.500953214826716
TUV,2019-01,8748,9,4106,437607.17091836734,4.926139297490965,24.896265211326952
TUV,2019-02,6791,8,3464,295290.89317375893,5.2272738111260555,28.122299361333436
TUV,2019-03,6212,8,3560,276172.0943877551,5.930852742258533,35.82938058266143
TUV,2019-04,5227,7,3380,293726.1224358975,5.611838465205733,31.00494443116696
TUV,2019-05,5427,5,3714,372308.8029871978,5.504185092840834,29.590151570195047
TUV,2019-06,4292,9,2961,213226.77195121953,5.983373401295378,34.5173403252214
TUV,2019-07,6740,9,4587,531667.5897435897,5.781781984893341,32.47177788288651
TUV,2019-08,8821,9,4678,523833.5846631207,5.423313428935354,29.98551439677147
TUV,2019-09,9220,10,4565,532490.1394557824,5.11844870603148,26.32245980460564
TUV,2019-10,8145,8,4064,479363.0586932447,4.74890565265064,22.451748010416335
TUV,2019-11,8598,7,3962,500021.9977851605,4.427703532291365,19.17822882902974
TUV,2019-12,8411,9,4996,555008.0416281222,5.977948193498345,35.87576426699582
TUV,2020-01,6848,9,4921,513164.5180388528,6.504345822642489,40.86165283435974
TUV,2020-02,5939,11,3921,396613.4709851552,5.711831127373999,31.643723412800554
TUV,2020-03,6405,10,4368,381668.2142857142,6.659354377986432,43.20041770601336
AUS,2017-07,969255,2,905030,4961683978.919069,12.720953842771983,159.88377474074107
AUS,2017-08,476063,2,445025,1355682291.3678327,11.951897917804645,140.90093497535096
AUS,2017-09,858569,2,802961,3905649575.1756854,12.721292685629928,159.88965742276932
AUS,2017-10,363347,2,341281,931112586.5139351,11.040288926351073,119.92822133095112
AUS,2018-07,181343,3,165180,237050169.95392835,10.56981039681814,109.81689144559591
AUS,2018-08,157261,3,143597,196178320.1826007,10.087831929773715,99.8462686976269
AUS,2018-09,835027,3,770443,3510896432.321288,12.872830381069576,163.80826533912455
AUS,2018-10,1235671,3,1136993,6662260056.775948,13.806190550777007,188.74151871921106
AUS,2018-11,388032,4,350460,858416396.2516496,11.815473297074341,137.73903322973953
AUS,2018-12,509093,6,447673,1441428492.0908146,11.63191387544882,133.5348449961345
AUS,2019-01,538569,6,475360,1602112622.5468085,11.71947005360376,135.56473024576326
AUS,2019-02,502945,5,443775,1480230819.6441104,11.373124506509463,127.56599402304343
AUS,2019-03,509636,5,455538,1430691754.7535439,11.892666594646856,139.62454247381143
