,iso3,facebook_opt-350m,facebook_opt-1.3b,facebook_opt-2.7b,bigscience_bloom-560m,bigscience_bloom-1b7,bigscience_bloom-3b
93,NZL,-0.4061699385157349,-0.2091660017200901,-0.2025822518919745,-0.266413362115569,-0.4716130810013227,-0.4589479540959532
94,OMN,0.5742351129737696,0.7366489520799856,0.6685884557528108,-0.1174773588372162,0.2351861918260289,0.2774922057932305
95,PAN,-0.3344333321912742,-0.1215120774004804,-0.0673128079124069,0.1482844974383743,-0.1265965315595831,-0.0974855120268212
96,PER,-0.7425451297686758,-0.5368983654554613,-0.4509138124163279,-0.2665240392460616,-0.4738169675492643,-0.437603121135388
97,PNG,-1.7824395870335008,-1.4861047428471954,-1.6026812577461378,-0.2082662576732225,-0.9051041758222084,-0.8741668530477372
98,PHL,1.075873418303954,1.0594338518796536,1.0060381583976812,0.5112490096334737,1.4742449307422616,1.5213060665995244
99,PAK,0.571610517141621,0.2362577379927134,0.1118435995382176,0.169904010619617,0.9467479608498948,0.9011379599500104
100,POL,-0.3825512376652495,-0.1289041630275658,-0.006707383756866,-0.2696754113545067,-0.4213555552869792,-0.3545357082412016
101,PRT,-0.3842046768298965,-0.214147059241963,-0.1524207661286514,-0.275944749767,-0.4703592077156966,-0.4094709020502656
102,QAT,-0.4957182539432918,-0.8527040422169876,-0.8648345573285994,-0.1062400400572049,-0.6554415120244976,-0.6943029730620041
103,ROU,-0.7541113499707474,-0.4802333132269015,-0.3703176811872728,-0.3076274224090254,-0.6599472274869175,-0.5978729408809982
104,RUS,-0.1638258669326066,-0.0205276497251676,0.1031156910300847,-0.2049266449166986,-0.1115905091298721,-0.0440255791768413
105,SAU,-0.6350203286301526,-0.8054693652476677,-0.8122478184576013,0.2256446100514245,-0.4267255242260583,-0.3957973197109245
106,SDN,-1.0810938088138502,-0.975413182281823,-0.8416381278795827,0.323810098883899,-0.7337845326330819,-0.7214314341897412
107,SWE,-0.5568511797303187,-0.3943783480285154,-0.3222023564700126,-0.2840459239011902,-0.5819107260276782,-0.5395649487683957
108,SVN,-0.2733524568102614,-0.05905216408872,0.0251125540820926,-0.2214488198513389,-0.2267388975277409,-0.1660721275899297
109,SEN,0.9266501446864904,1.0921263636359204,1.1056822634091688,-0.1447409152595526,0.3874053940033057,0.4525075764610782
110,SOM,0.0245792816307868,-0.1242106373328025,-0.2031388209892538,-0.2042795040575944,-0.2838660740226458,-0.3434709514591009
111,SUR,-0.8298654242781448,-0.6293029995239838,-0.4834778852579215,-0.2094784255935176,-0.3617001640807086,-0.3320781135700977
112,SYR,-0.7343563691963627,-0.7959329792136993,-0.7529638814752246,-0.1956729073131566,-0.749995381429353,-0.7504234501914495
113,SWZ,0.0536993378198568,0.572652003196975,0.7655366823934995,-0.1659557228205584,0.1890786536106322,0.2986869775722551
114,THA,0.6403332511305556,0.9387427819542452,1.0163364307147198,0.0361695007687727,0.4607139250721888,0.5135902611827283
115,TJK,-1.4099298493317671,-1.3237777887916884,-1.1618101703776045,-0.2442588950360666,-0.8865489110240096,-0.858853054161771
116,TUN,0.0537648285063136,-0.1372984160187402,-0.1098832172463294,-0.1811996055020038,-0.1049688184436567,-0.1224494941727141
117,TUR,-0.364459845372266,-0.4230318511270221,-0.3532512526747519,-0.2351122901755515,-0.4536492725552914,-0.4432221844078867
118,TZA,0.0890930447826095,0.0537758730098616,0.0656364926099029,-0.1020418671968044,0.155469806434297,0.1466247324576281
119,UKR,-0.576298638398426,-0.5270632041595714,-0.4743214796990125,-0.2690892692152773,-0.4911379949911498,-0.4783926544356139
120,UGA,0.3515347058569236,0.6561053501823787,0.7757633017920506,-0.1628041126420314,0.3452276527691627,0.3963393816252524
121,GBR,-0.6596519970801172,-0.7537035637059067,-0.8431402786524822,-0.298489477515272,-0.8417980790026837,-0.8948368310214028
122,USA,-0.979206415557901,-1.1405826245153032,-1.1687218686432863,-0.3212672473619627,-0.9682396631278024,-1.0056742963148817
123,URY,-0.631761636893059,-0.4646610302528067,-0.385929287514981,-0.2989974410070858,-0.6718138722670474,-0.6150651282551723
124,VEN,-0.1932387197317056,-0.1140909957616784,-0.0402801639433671,-0.1295545379178697,-0.1906665249460014,-0.1321454805627678
125,VNM,0.2338343721056046,0.5612917043382817,0.6560961853389803,-0.0627211868407714,0.2320762985625784,0.2952931256550032
126,YEM,-0.7248582738265891,-0.6079577218829706,-0.5126799480039074,-0.0898759624512572,-0.4412309638286272,-0.4585075468660526
127,ZAF,-0.0192360653024504,0.0685935605953864,0.1215759461485096,-0.1739552662117057,-0.0457935705687461,-0.0072954728989377
128,ZMB,-0.7617070960309178,-0.5387555390565584,-0.4267281973027167,-0.2709692534434014,-0.3823276895260574,-0.3188082844385138
129,ZWE,-0.1044027506259448,-0.0187240390328078,-0.0141844990436274,-0.1862976877970567,0.0187073470184151,0.0321463166416981

