,iso3,Total_TW,Twitter: N. Languages,Max_N_TW,Twitter: Variance of Distribution,Twitter: Skewness of Distribution,Twitter: Kurtosis of Distribution,Total_TW2,Twitter LID2: N. Languages,Max_N_TW,Twitter LID2: Variance of Distribution,Twitter LID2: Skewness of Distribution,Twitter LID2: Kurtosis of Distribution,Total_CC,Web: N. Languages,Max_N_CC,Web: Variance of Distribution,Web: Skewness of Distribution,Web: Kurtosis of Distribution,Twitter: HHI,Twitter LID2: HHI,Web: HHI,Twitter: Change During COVID,Twitter: Type of Change During COVID
43,CUB,248749471.0,3,131458537.0,203783178920969.9,8.16618344601934,65.96399314638387,258157634.0,4,132404170.0,205817710392216.9,8.167715791868048,66.06793675418719,1240916088.0,2,1161622881.0,1.47488345631769e+17,2.4714713260153163,4.115229400617954,0.442247116429403,0.4008728374939149,0.8773476554391315,,No Change
44,CYP,68287649.0,7,23103521.0,10426511456495.268,5.862475387546039,33.69043521690411,71228304.0,8,23167474.0,10481894344711.459,5.849907849065507,33.58449476552238,54067.0,1,54067.0,--,0.0,-3.0,0.25065280554255315,0.21831518411251752,1.0,,No Change
45,CZE,172363643.0,10,94585003.0,77005836400965.66,9.6770697472281,98.22365864443333,181168524.0,11,96090550.0,79321649429352.61,9.683467873945279,98.38655676336676,5477931054.0,3,5033748455.0,6.840593196474621e+17,5.7996846319870885,31.763808574510847,,0.29675994848138293,0.8476867913497981,,No Change
46,DEU,381781602.0,7,242914227.0,461175533653034.9,10.319134612924142,110.16384021949195,397216692.0,8,244514277.0,463640127530741.0,10.355257319656735,110.98180144826209,10528238485.0,2,9425669361.0,1.9406205437081692e+18,6.463703456698618,40.153926865071455,,0.40068097570609074,0.8095858124978486,0.000458066,Decreasing HHI
47,DJI,12225488.0,8,5418973.0,536281773500.9142,6.268852151917506,39.000737732845515,13019441.0,9,5452774.0,542080671482.6673,6.253515621882589,38.86894008713331,237347166.0,8,170868814.0,962982737668039.9,5.068432375759143,24.12875074199824,,0.2475969064192821,0.5281644814773331,,No Change
48,DMA,0.0,0,--,--,--,--,0.0,0,--,--,--,--,2912132.0,2,2788407.0,3550265080562.0,0.0,-2.0,,0.0,0.918638019939557,,No Change
49,DNK,211284611.0,8,93206860.0,110440307408368.1,7.9106177626973295,61.770761525546405,225271648.0,9,99113652.0,119245239315181.28,7.982440941079115,63.33480139555559,5102408226.0,2,4200955089.0,4.406826823105048e+17,5.879572616458147,33.46463217827006,0.3292477960465048,0.3009436557785671,0.7014633621572963,0.018237374,Decreasing HHI
50,DOM,5193486.0,2,4713148.0,652938746582.7344,5.523519480894967,28.67633281325473,5310275.0,2,4771742.0,649825277492.5381,5.612131913199751,29.666960869246658,133592599.0,6,85491728.0,451250990710779.7,3.183021703104702,8.936175054493813,,0.7729918175261046,0.45666197301858225,,No Change
51,DZA,122119434.0,4,62307418.0,46270875172520.875,7.640018901577206,60.5889693863774,129383052.0,4,62612226.0,47038202427292.89,7.598389110560009,59.89098451460586,81911801.0,3,54273877.0,471573762484481.0,1.2735466630535686,0.06203495362432143,,0.32223249077368804,0.5180868397167492,0.022491527,Decreasing HHI
52,ECU,277203469.0,3,251925054.0,470976675224506.25,11.433057245400692,129.12802595223806,283840458.0,3,253384167.0,476352913064995.06,11.43141619810999,129.10247883517073,548388536.0,6,325726788.0,9774520028111622.0,2.2445139939756795,3.518401483372428,,0.7668442614804676,0.46695481847012443,,No Change
53,EGY,16923923.0,2,15082288.0,3697936720859.402,7.551900815905511,55.61230299716957,19299905.0,3,15167894.0,3752915058791.1187,7.463655188779277,54.64541015890366,7247627.0,4,3981814.0,2792500334023.905,1.0627679064618558,-0.7165877542265884,0.8036955216130671,0.5927035552592356,0.4618293295388139,,No Change
54,ERI,4187153.0,6,2522357.0,102885041922.32112,7.138660924457505,51.79597401250341,4567945.0,8,2539636.0,104078221429.38461,7.112883745738787,51.54776291530416,0.0,0,--,--,--,--,0.3909577786043687,0.244269800556679,0.0,0.003659566,Decreasing HHI
55,ESP,434840005.0,4,357408623.0,877800492631526.1,11.776121479400524,138.2755792722795,446002828.0,4,361187729.0,890300013274933.4,11.815064751840913,139.21858415812602,14617827387.0,2,13708051112.0,4.4677260139268204e+18,6.229497452569118,36.878862677498994,,0.6444489432733971,0.8810540685731266,0.028622464,Increasing HHI
56,EST,58778097.0,10,29329337.0,8036600854015.593,9.069711919964636,87.68500714114504,64271753.0,11,29610262.0,8194686922376.319,9.023683940041442,87.09484369133345,2231737441.0,3,1625590800.0,8.557948188705238e+16,4.947466234504943,23.668715169291296,,0.21222934349570874,0.5639039448121276,0.009918684,Decreasing HHI
57,ETH,58591024.0,8,32004390.0,9941369787983.566,9.186897892567979,88.2834362175356,63370480.0,10,32136834.0,10054038557462.43,9.115766628810889,87.28052515819783,820423.0,2,477100.0,8948142864.5,0.0,-2.0,0.32755836918285935,0.25119816196197836,0.5132940483916701,0.003202122,Decreasing HHI
58,FIN,205951934.0,6,138281094.0,175455469416890.53,9.550910913121042,93.75641967781993,212311836.0,7,138634521.0,169337755752381.1,9.746766923341497,97.75024044066387,3199147086.0,3,2466776068.0,1.748371898462093e+17,5.35919517647489,27.783042881243528,,0.4581520695739953,0.6256845134248579,,No Change
59,FJI,7345437.0,3,5662331.0,568828780966.9951,6.954903866864082,48.10305589172656,7761250.0,4,5673237.0,573029137734.5178,6.903483189845806,47.52158923276996,0.0,0,--,--,--,--,,0.49439639413489467,0.0,0.046207764,Decreasing HHI
60,FRA,397065601.0,4,324265672.0,738437877053763.2,11.63513530972201,135.0023962305391,410472141.0,4,325989506.0,746139734818928.0,11.630672219106403,134.93146609995654,14966551733.0,2,13767801883.0,3.796700403360746e+18,6.805693649135356,44.538555987008586,0.6767141093358516,0.616274871794186,0.8505368494221857,,No Change
61,FSM,27070604.0,4,16183471.0,4739787331301.759,6.366891088773248,40.65680172242661,28917404.0,5,16256033.0,4792226380093.524,6.337759142856165,40.31757221150432,0.0,0,--,--,--,--,,0.39591167763396634,0.0,0.046351777,Decreasing HHI
62,GAB,24650218.0,6,14400730.0,2881482539449.2954,7.409145909112182,56.9698215245376,26532888.0,7,14501764.0,2920366908370.181,7.385680970073753,56.70313969620525,1514766028.0,5,1280743016.0,5.093984911886583e+16,5.341654735546731,26.700128347568352,0.4009037552792038,0.32454649358233256,0.7194016183382818,,No Change
63,GBR,486606051.0,4,451214256.0,1530014373527654.2,11.390285207820968,127.82803918069573,514550995.0,5,451650764.0,1533115221091300.0,11.373051899777442,127.56324692369066,4398602848.0,1,4376734531.0,7.092050848690527e+17,4.902864482742402,22.038217131731336,0.8604508427310253,0.7453087037788795,0.9900870389230136,0.008131701,Decreasing HHI
