,Country,ara,aze,bel,bul,cat,ces,dan,deu,ell,eng_expanding,eng_inner,eng_outer,est,fas,fin,fra,gle,hbs,hin,hun,ind,isl,ita,jpn,kat,kaz,kor,lav,lit,mkd,mon,nld,nor,pol,por,ron,rus,slk,slv,spa,sqi,swe,tam,tgl,tur,ukr,urd,uzb,vie,zho,iso3
89,Moldova,,,,107109.0,,44450.0,39425.0,356621.0,,30332757.0,,,,,21725.0,562762.0,,,,,47627.0,,,3262242.0,,,,,,,,50596.0,38961.0,127092.0,188422.0,131662468.0,81952760.0,,,559599.0,,3258639.0,,,85088.0,93270.0,,,,,MDA
90,Mongolia,,,,12752.0,,,,57203.0,,31107522.0,,,,22241.0,,126480.0,,,,,,,,1653627.0,,,,,,,120302908.0,,,,,,886469.0,,,,,31995.0,,,,,,,,241243.0,MNG
91,North_Macedonia,,,,1683728.0,46225.0,,,98381.0,,17084256.0,,,,,,163066.0,,,,27461.0,169586.0,,,,,,,,,117005111.0,,,6648.0,,189476.0,,214437.0,,11989.0,343461.0,14155715.0,115224.0,,,196371.0,,,,48798.0,,MKD
92,Slovenia,,,,18857.0,,144252.0,,4005729.0,,31107258.0,,,8006.0,,16562.0,984612.0,,,,473078.0,80829.0,,,2101646.0,,,,,,68058.0,,304190.0,66463.0,173714.0,152088.0,68815.0,3527963.0,126374.0,481826834.0,3323160.0,53920.0,84041.0,,,204268.0,370112.0,,,,,SVN
93,Andorra,,,,,27652272.0,,,88739.0,,629451.0,,,,,,301080.0,,,,,,,,,,,,,,,,,,32229.0,29959.0,,,,,3249275.0,,,,,,,,,,,AND
94,Chile,,,,,37070.0,,,1129048.0,,31106907.0,,,35595.0,,21703.0,1246687.0,,356967.0,,,88116.0,,1095309.0,13962724.0,,,,,,,,62725.0,,77827.0,3024097.0,,564524.0,,,191930287.0,,,,,,,,,,,CHL
95,Democratic_Republic_Congo,,,,,101413.0,60333.0,,2994842.0,,15735653.0,,,,,,7485213.0,,,,,,,1197700.0,,,,,,,,,61482.0,,585113.0,,,2169683.0,,,752906.0,,,,,,198571.0,,,,1827030.0,COD
96,Japan,,,,,287896.0,55001.0,,1940105.0,,31106571.0,,,57188.0,,370630.0,6372336.0,,,,114141.0,1566602.0,,,299058706.0,,,3257350.0,,208139.0,,,446685.0,126044.0,803681.0,7764443.0,107179.0,10712933.0,,42114.0,11688096.0,,905274.0,51824.0,112699.0,701857.0,,,12021.0,1239255.0,12842907.0,JPN
97,Costa_Rica,,,,,,27497.0,,46838.0,,9395257.0,,,,,,292341.0,,,,,,,48844.0,,,,,,,,,37390.0,,,12966.0,,176900.0,,,27739481.0,,16736.0,,,,,,,,,CRI
98,Croatia,,,,,,1221671.0,1750052.0,3912357.0,,31107503.0,,,,,17182.0,1683196.0,,437784888.0,,850780.0,374159.0,,4747639.0,987984.0,,,,,,30160.0,,641739.0,50451.0,697156.0,101471.0,302729.0,833773.0,634826.0,1583730.0,1597207.0,,394625.0,,,76959.0,,,,,,HRV
99,Philippines,,,,,,11599.0,,257815.0,,,,183522583.0,,,8820.0,282140.0,,,,33039.0,221035.0,,,26242029.0,,,33323.0,,,,,49699.0,12927.0,72438.0,475922.0,93797.0,2238613.0,,,738985.0,,,,23420203.0,,,,,62905.0,1052353.0,PHL
100,Poland,,,,,,561158.0,,14229707.0,,31106804.0,,,,,2997117.0,7954847.0,,,,82209.0,123969.0,,,4148850.0,,,,,102467.0,,,637574.0,,962729806.0,1096913.0,157477.0,9655784.0,133735.0,,6330096.0,,11448120.0,,,205521.0,1360869.0,,,,,POL
101,Puerto Rico,,,,,,179754.0,,127517.0,,570755.0,,,,,,,,,,,,,,,,,,,,,,40615.0,,,,,,,,17273449.0,,,,,,,,,,,PRI
102,Estonia,,,,,,,59425.0,1055367.0,,31106810.0,,,485519484.0,197065.0,2613782.0,730304.0,,,,174927.0,153901.0,,2222956.0,1317004.0,,,153702.0,569051.0,308046.0,,,71419.0,99380.0,155940.0,156381.0,,95173988.0,11849.0,,336238.0,,388864.0,,,,,,,,1182623.0,EST
103,Greenland,,,,,,,4121871.0,287979.0,,1286564.0,,,,,,38933.0,,,,,,,,,,,22351.0,,,,,,,,94126.0,25342.0,39541.0,,,192300.0,,,,,,,,,,37630.0,GRL
104,Brazil,,,,,,,,66398.0,,31106948.0,,,,,3578.0,563549.0,,,,,66235.0,,77369.0,1488945.0,,,,,,,,,,,237041861.0,,,,,8845018.0,,,,,,,,,,,BRA
105,Caicos_Islands,,,,,,,,179261.0,,4074325.0,,,,23052.0,,,,,,,,,,5844043.0,,,274779.0,,,,,,,,,,121598.0,,,304588.0,,,,,30356859.0,,,,,32646.0,TCA
106,Cameroon,,,,,,,,19747.0,,4946438.0,,,,,,10342826.0,,,,,2186766.0,,,906574.0,,,,,,,,,,,,,,,,57923.0,,,,,,,,,,6845132.0,CMR
107,Comoros,,,,,,,,42057.0,,562796.0,,,,,,113538.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COM
108,Guyana,,,,,,,,58609.0,,3516181.0,,,,,,893637.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239328.0,GUY
109,Haiti,,,,,,,,74423.0,,1667150.0,,,,,,1324339.0,,,,,,,,,,,143866.0,,,,,,,65865.0,310141.0,,21873874.0,,,404496.0,,,,,,1148170.0,,,,,HTI
110,Madagascar,,,,,,,,144956.0,,471303.0,,,,,,5860697.0,,,,,,,,166765.0,,,,,,,,,,,8639.0,,53672.0,,,,,,,,,,,,,,MDG
111,Maldives,,,,,,,,48382.0,,2345110.0,,,,,,,,,,,,,,129702.0,,,,,,,,,,,,,,,,,,,,,,,,,,,MDV
112,New_Zealand,,,,,,,,422004.0,,,46769539.0,,,,,26426.0,,,,,,,,170655.0,,,167536.0,,,,,,,23619.0,,,,,,142994.0,,,,,,,,,,1464909.0,NZL
113,Peru,,,,,,,,170943.0,,17691792.0,,,,,,383233.0,,,,,24041.0,,,,,,405511.0,,,,,132955.0,,155074.0,1399866.0,,505965.0,,,191930226.0,,44300.0,,,,,,,,1214513.0,PER
114,Saint_Vincent,,,,,,,,248280.0,,18513042.0,,,,,,,,,5410.0,,124173.0,,,8310348.0,,,55913.0,,,,,,,459268.0,2531994.0,,1226055.0,,,214046.0,,,,,,28440.0,,,,19917562.0,VCT
115,Sierra_Leone,,,,,,,,74886.0,,1582846.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLE
116,Turkmenistan,,,,,,,,299436.0,,3316517.0,,,,,,,,,41351.0,,,,,305069.0,,,,,,,,28029.0,,22337.0,46369.0,,1015530.0,,,,,32572.0,,,,,,,,833805.0,TKM
117,Uganda,,,,,,,,25818.0,,16120149.0,,,,,32892.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UGA
118,Uruguay,,,,,,,,561928.0,,4416960.0,,,,,,230276.0,,,,,,,,,,,,,,,,,,,40421.0,,,,,19270109.0,,,,,,,,,,,URY
119,Viet_Nam,,,,,,,,914323.0,,31107205.0,,,,,,17725210.0,,,,,437505.0,,,10050840.0,,,514508.0,,,,,,186890.0,,,,1540477.0,,,8992320.0,,,,,,,,,993891901.0,16634415.0,VNM
120,Virgin_Islands,,,,,,,,36692.0,,,,7354981.0,,,,,,,,,,,,154002.0,,,,,,,,47267.0,,,147110.0,,543649.0,,,13756806.0,,,,,,,,,,13696817.0,VGB
121,Cyprus,,,,,,,,,53839.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CYP
122,Afghanistan,,,,,,,,,,6207851.0,,,,4568396.0,,30022.0,,,,,,,,,,,,,,,,,,,,,50052.0,,,,,,,,,,,,,,AFG
123,Angola,,,,,,,,,,466780.0,,,,,,220933.0,,,,,,,,,,,,,,,,,,,20345002.0,,,,,153370.0,,,,,,,,,,,AGO
124,Argentina,,,,,,,,,,433270.0,,,,,,,,,,,,,,,,,,,,,,,,,43433.0,,,,,15555029.0,,,,,,,,,,,ARG
125,Aruba,,,,,,,,,,503542.0,,,,,,,,,,,,,,,,,,,,,,367922.0,,,,,,,,281516.0,,,,,,215536.0,,,,,ABW
126,Bahamas,,,,,,,,,,1258599.0,,1258599.0,,,,,,,,50447.0,,,,,,,,,,,,50075.0,,,,,,,,106435.0,,,,,,,,,,,BHS
127,Barbados,,,,,,,,,,17199830.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRB
128,Benin,,,,,,,,,,59392.0,,,,,,1466081.0,,,,,,,,130947.0,,,,,,,,,,,,,,,,,,,,,,,,,,,BEN
129,Bhutan,,,,,,,,,,3964509.0,,,,,,,,,,,,,,68007.0,,,,,,,,,,,,,,,,,,,,,,,,,,61021.0,BTN
130,Bolivia,,,,,,,,,,177346.0,,,,,,,,,,,,,162456.0,1314956.0,,,,,,,,,,,,,,,,15954931.0,,,,,,,,,,,BOL
131,Botswana,,,,,,,,,,3682423.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWA
132,Burkina_Faso,,,,,,,,,,70118.0,,,,,,4949180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BFA
133,Cabo_Verde,,,,,,,,,,371989.0,,,,,,43226.0,,,,,,,,,,,,,,,,,,,22019291.0,,,,,,,,,,,,,,199824.0,,CPV
134,Cayman_Islands,,,,,,,,,,6784390.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CYM
135,Cook_Islands,,,,,,,,,,47986.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COK
136,Dominica,,,,,,,,,,964807.0,,,,,,,,,,,,,,,,,,,,,,,,,,,52238.0,,,,,,,,,,,,,,DMA
137,El_Salvador,,,,,,,,,,54884.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26015874.0,,,,,,,,,,,SLV
138,Eswatini,,,,,,,,,,328766.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SWV
139,French_Polynesia,,,,,,,,,,234949.0,,,,,,17877549.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14909.0,PYF
140,Gambia,,,,,,,,,,7280303.0,,,,,,91003.0,,,,,14986.0,,30699.0,58010.0,,,,,,,,,,,,,239098.0,,,,,,,,,,,,,,GMB
141,Guatemala,,,,,,,,,,563751.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35283064.0,,,,,,,,,,,GTM
142,Lesotho,,,,,,,,,,81610.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LSO
143,Macao,,,,,,,,,,1359906.0,,,,,,,,,,,,,,,,,,,,,,,,,80450.0,,,,,,,,,,,,,,,165287.0,MAC
144,Malawi,,,,,,,,,,1815142.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23691.0,MWI
145,Malta,,,,,,,,,,2407182.0,,,,,,,,,,,,,,138332.0,,,,,,,,,,,,,,,,,,,,,,,,,,,MLT
146,Namibia,,,,,,,,,,3594230.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAM
147,Nauru,,,,,,,,,,179754.0,,,,,,,,,,,3605.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NRU
148,New_Caledonia,,,,,,,,,,401050.0,,,,,,10810517.0,,,,,,,,35966.0,,,,,,,,,,,,,,,,,,,,,,,,,,,NCL
149,Niger,,,,,,,,,,180194.0,,,,,,539982.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NER
150,Northern_Mariana_Islands,,,,,,,,,,572883.0,,,,,,,,,,,,,,152135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,MNP
151,Panama,,,,,,,,,,46133.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328315.0,,,,,,,,,,,PAN
152,Paraguay,,,,,,,,,,42062.0,,,,,,,,,,,,,,,,,,,,,,,,,27975.0,,,,,1102321.0,,,,,,,,,,,PRY
153,Republic_of_Congo,,,,,,,,,,53687.0,,,,,,525023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COG
154,Rwanda,,,,,,,,,,3321699.0,,,,,,57073.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RWA
155,Saint_Kitts_Nevis,,,,,,,,,,414096.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KNA
156,Saint_Lucia,,,,,,,,,,674307.0,,,,,,,,,,,,,,,,,,,,,,,,,,,110911.0,,,,,,,,,,,,,231717.0,LCA
157,San_Marino,,,,,,,,,,898393.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37400.0,,,,,,,,,,,SMR
158,Suriname,,,,,,,,,,679321.0,,,,,,,,,,,,,,,,,,,,,,1997764.0,,,,,45186.0,234522.0,,,,,,,,,,,,,SUR
159,Togo,,,,,,,,,,181910.0,,,,,,1905390.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TGO
160,Turkey,,,,,,,,,,109730.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,756378.0,,,,,,TUR
161,Venezuela,,,,,,,,,,208303.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019856.0,,,,,,,,,,,VEN
162,Zambia,,,,,,,,,,126937.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZMB
163,Australia,,,,,,,,,,,10931028.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AUS
164,Bermuda,,,,,,,,,,,,13286339.0,,,,,,,,,,,,661996.0,,,,,,,,,,,,,,,,150926.0,,,,,,,,,,,BMU
165,Kenya,,,,,,,,,,,,116719.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KEN
166,Chad,,,,,,,,,,,,,,,,94890.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCD
167,French_Guiana,,,,,,,,,,,,,,,,134844.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GUF
168,Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5745407.0,,,,,,,,,,,,,,,,MOZ
169,Solomon_Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7208202.0,SLB
